SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
517271,HBL P SYS   ,B ,Q,26.45,27.30,25.60,25.90,25.90,25.45,380,60618,1592788.00,
517288,GUJARATPOLY ,X ,Q,33.90,33.90,33.25,33.90,33.90,32.30,66,8367,283615.00,
517300,GUJ.IND.POW.,B ,Q,71.50,71.50,70.90,71.00,71.20,71.25,25,949,67438.00,
517330,CMI LTD.    ,B ,Q,136.50,138.30,136.50,136.75,136.75,136.50,20,939,128880.00,
517334,MOTHERSON SS,A ,Q,148.90,151.05,148.85,149.70,149.70,148.30,1155,153687,23006838.00,
517344,MINDTECK (I),B ,Q,36.10,40.55,36.10,39.50,40.40,40.50,8,456,18061.00,
517354,HAVELLSINDIA,A ,Q,761.00,761.00,750.50,751.85,751.85,759.00,904,22963,17326575.00,
517372,GUJ.INTRUX  ,X ,Q,81.50,81.50,76.10,80.80,80.80,81.25,10,457,36282.00,
517380,IGARSHI MOT ,B ,Q,348.10,348.10,336.00,342.85,341.50,339.85,142,1332,453843.00,
517385,SYMPHONY    ,A ,Q,1345.50,1407.50,1340.15,1388.30,1388.30,1349.95,454,2790,3846018.00,
517403,SUN SOURCE  ,XT,Q,3.90,3.90,3.90,3.90,3.90,3.94,1,9,35.00,
517417,PATEL AIRTEM,X ,Q,104.95,104.95,97.30,101.30,101.90,98.95,12,1248,125500.00,
517421,BFLYGANDHI  ,B ,Q,190.15,195.00,187.60,188.25,187.65,188.80,97,1323,249759.00,
517437,DUTRON POLY.,XT,Q,135.05,135.60,123.10,123.10,123.10,129.15,9,1016,137565.00,
